id,t,s,p,q,date
bitstamp,2020-08-14T08:42:52.677Z,bchusd,291.43,0.4097,2020-08-14
bitstamp,2020-08-14T08:42:52.682Z,bchusd,291.43,1.21784559,2020-08-14
bitstamp,2020-08-14T08:42:52.703Z,bchusd,291.43,0.334,2020-08-14
bitstamp,2020-08-14T08:47:01.942Z,bchusd,291.19,0.186,2020-08-14
bitstamp,2020-08-14T08:48:23.196Z,bchusd,291.19,0.00083,2020-08-14
bitstamp,2020-08-14T08:53:39.033Z,bchusd,292.4,2.004,2020-08-14
bitstamp,2020-08-14T08:57:17.299Z,bchusd,291.9,0.179,2020-08-14
bitstamp,2020-08-14T08:57:24.942Z,bchusd,291.83,0.164,2020-08-14
bitstamp,2020-08-14T09:02:15.178Z,bchusd,291.41,18,2020-08-14
bitstamp,2020-08-14T09:02:15.178Z,bchusd,291.4,7.81687882,2020-08-14
bitstamp,2020-08-14T09:02:26.609Z,bchusd,291.31,11,2020-08-14
bitstamp,2020-08-14T09:02:26.609Z,bchusd,291.28,4.117,2020-08-14
bitstamp,2020-08-14T09:02:26.609Z,bchusd,291.25,5.89987882,2020-08-14
bitstamp,2020-08-14T09:02:42.044Z,bchusd,291.31,18,2020-08-14
bitstamp,2020-08-14T09:02:42.044Z,bchusd,291.31,7.81687882,2020-08-14
bitstamp,2020-08-14T09:02:57.480Z,bchusd,291.21,18,2020-08-14
bitstamp,2020-08-14T09:02:57.480Z,bchusd,291.2,4.8,2020-08-14
bitstamp,2020-08-14T09:02:57.480Z,bchusd,291.12,3.01687881,2020-08-14
bitstamp,2020-08-14T09:03:10.923Z,bchusd,291.35,18,2020-08-14
bitstamp,2020-08-14T09:03:10.923Z,bchusd,291.31,7.41687882,2020-08-14
bitstamp,2020-08-14T09:06:02.586Z,bchusd,291.92,0.338,2020-08-14
bitstamp,2020-08-14T09:09:25.049Z,bchusd,292.1,0.145,2020-08-14
bitstamp,2020-08-14T09:09:25.132Z,bchusd,292.1,0.00056,2020-08-14
bitstamp,2020-08-14T09:10:56.773Z,bchusd,292.36,0.152,2020-08-14
bitstamp,2020-08-14T09:10:58.028Z,bchusd,292.36,0.013,2020-08-14
bitstamp,2020-08-14T09:11:02.321Z,bchusd,292.35,1.90369001,2020-08-14
bitstamp,2020-08-14T09:18:42.089Z,bchusd,292.77,2.004,2020-08-14
bitstamp,2020-08-14T09:19:24.968Z,bchusd,292.78,0.30146,2020-08-14
bitstamp,2020-08-14T09:19:45.530Z,bchusd,292.65,0.1,2020-08-14
