s,date,open,high,low,close,log_ret,diff_date
bchusd,2019-11-25,202.53,218.41,192.1,207.9,0.0266630470904812,1
bchusd,2019-11-26,207.64,216.42,207.21,211.15,0.0155115865159854,1
bchusd,2019-11-27,211.2,226.59,203.6,220.24,0.0421490794543993,1
bchusd,2019-11-28,219.87,224.6,212.02,217.41,-0.0129328890450522,1
bchusd,2019-11-29,217.4,227.95,216.9,224,0.0298610800657401,1
bchusd,2019-11-30,224.37,226.19,213.78,218.01,-0.0271051185583857,1
bchusd,2019-12-01,217.43,219.72,206.5,215.68,-0.0107451055727119,1
bchusd,2019-12-02,214.55,217.75,209.51,214.01,-0.00777308482189264,1
bchusd,2019-12-03,215.23,217.4,210.97,211.8,-0.0103803097347435,1
bchusd,2019-12-04,213.03,222.72,202.75,208.75,-0.0145050694363413,1
bchusd,2019-12-05,207.56,215.85,205.37,211.6,0.0135603362531795,1
bchusd,2019-12-06,211.61,215.36,209,213.24,0.00772059197041601,1
bchusd,2019-12-07,213.24,217.58,210.2,211.38,-0.00876083037335908,1
bchusd,2019-12-08,211.41,216.57,208.12,212.71,0.00627227409435798,1
bchusd,2019-12-09,212.63,216.2,205.65,208.36,-0.0206623827985684,1
bchusd,2019-12-10,208.12,209.86,203.26,206.8,-0.00751521024271668,1
bchusd,2019-12-11,206.63,208.78,203.98,206.7,-0.000483675946551582,1
bchusd,2019-12-12,206.77,208.76,203.52,206.37,-0.00159779248169006,1
bchusd,2019-12-13,206.37,213.43,205.82,211.52,0.024648882457289,1
bchusd,2019-12-14,211.52,213.6,204.58,205.85,-0.0271718084474079,1
bchusd,2019-12-15,206.72,210.33,205,206.84,0.004797799312107,1
bchusd,2019-12-16,206.91,208.7,193.24,195.95,-0.0540860228823803,1
bchusd,2019-12-17,195.95,198.14,171,176.53,-0.104368691044449,1
bchusd,2019-12-18,176.61,193.51,169.62,188.71,0.0667206115398127,1
bchusd,2019-12-19,188.81,191.83,182.55,186.27,-0.0130142110960932,1
bchusd,2019-12-20,186.14,191.63,183.57,187.3,0.00551437540513182,1
bchusd,2019-12-21,187.47,188.87,185.59,186.5,-0.00428037036617265,1
bchusd,2019-12-22,186.92,198,185.87,196.55,0.0524856127839991,1
bchusd,2019-12-23,196.52,199.23,187.36,189.6,-0.036000262046948,1
bchusd,2019-12-24,190.23,192.01,184.94,188.35,-0.00661465568287132,1
bchusd,2019-12-25,188.9,189.2,182.58,185.15,-0.0171356267784283,1
bchusd,2019-12-26,185.04,195.3,183.84,187.55,0.0128791691682747,1
bchusd,2019-12-27,188.42,204.56,186.55,204,0.0840745173163201,1
bchusd,2019-12-28,204,211.11,202.39,206.84,0.0138255536838043,1
bchusd,2019-12-29,206.81,216.77,204.2,212.14,0.0253008865493034,1
bchusd,2019-12-30,212.13,215.66,202.67,207.72,-0.0210554151012059,1
bchusd,2019-12-31,207.51,214.79,200.57,203.65,-0.0197881848816966,1
bchusd,2020-01-01,203.81,209,202.26,203.59,-0.000294666537835844,1
bchusd,2020-01-02,204.71,205.51,192.38,194.97,-0.0432624669822186,1
bchusd,2020-01-03,194.9,226.55,191.48,221.16,0.126040720895365,1
bchusd,2020-01-04,221.16,228,215.5,224.31,0.0141426022102017,1
bchusd,2020-01-05,225.3,228.18,219.75,223.43,-0.00393085778853879,1
bchusd,2020-01-06,222.59,247.23,222.05,244.47,0.089994436108843,1
bchusd,2020-01-07,244.43,247.64,232.12,242.72,-0.00718408640001601,1
bchusd,2020-01-08,242.78,255.68,229.73,239.75,-0.0123118018366745,1
bchusd,2020-01-09,239.82,243.92,231.14,237.65,-0.00879771070352908,1
bchusd,2020-01-10,237.86,275.07,231,271.83,0.13437786784206,1
bchusd,2020-01-11,271.82,279.87,258.31,260.83,-0.0413080167902552,1
bchusd,2020-01-12,260.69,271.48,257.85,270.77,0.0374008979238377,1
bchusd,2020-01-13,270.65,273,260.78,267.21,-0.0132348859237737,1
bchusd,2020-01-14,267.24,368.34,267,348.35,0.26517285536424,1
bchusd,2020-01-15,348.35,362.89,311.64,339.4,-0.0260283686760021,1
bchusd,2020-01-16,340,342.96,308.78,326.76,-0.0379533963264573,1
bchusd,2020-01-17,326.58,383.92,318.56,368,0.118856981695263,1
bchusd,2020-01-18,367.98,405.86,327.85,339.01,-0.0820533326984799,1
bchusd,2020-01-19,338.79,366.27,318.35,339.04,8.84890495378542e-05,1
bchusd,2020-01-20,339.11,354.42,322.21,343.39,0.0127487329602597,1
bchusd,2020-01-21,343.38,348.22,330.81,343.5,0.000320284182155319,1
bchusd,2020-01-22,343.5,354.53,338.42,349.22,0.0165149844315775,1
bchusd,2020-01-23,349.11,350.15,315,325.21,-0.071230968585604,1
bchusd,2020-01-24,325.09,327.95,296.13,318.49,-0.0208800501633154,1
bchusd,2020-01-25,318.49,318.99,304.68,310.69,-0.0247954468518551,1
bchusd,2020-01-26,309.55,349.96,306.75,347.33,0.111479706176962,1
bchusd,2020-01-27,347.64,378.71,346.78,362.04,0.0414793662888011,1
bchusd,2020-01-28,362.02,385.84,359.52,379.59,0.0473370199103119,1
bchusd,2020-01-29,379.28,395.85,375.02,379.65,0.000158052789960684,1
bchusd,2020-01-30,379.44,398.73,366.99,391.99,0.0319865536017475,1
bchusd,2020-01-31,391.84,394.76,363,374.49,-0.0456712289299208,1
bchusd,2020-02-01,376,389.81,371.96,379.98,0.0145535194253247,1
bchusd,2020-02-02,379.97,389.15,368.24,377.22,-0.0072900481333692,1
bchusd,2020-02-03,377.38,393.53,374,383.86,0.0174493311547073,1
bchusd,2020-02-04,383.91,389.89,371.92,379.47,-0.0115023604501718,1
bchusd,2020-02-05,379.71,445.1,377.4,444,0.157049020104665,1
bchusd,2020-02-06,444.68,448.41,415.19,444.99,0.002227247571406,1
